name,state,wdId,idIBGE,lexLabel,creation,extinction,postalCode_ranges,notes
Abadia dos Dourados,MG,Q582223,3100104,abadia.dourados,,,[38540-000 38549-999],
Abadia de Goiás,GO,Q304652,5200050,abadia.goias,,,[75345-000 75349-999],
Abadiânia,GO,Q304716,5200100,abadiania,,,[72940-000 72959-999],
Abaeté,MG,Q1615444,3100203,abaete,,,[35620-000 35620-999],
Abaetetuba,PA,Q1615298,1500107,abaetetuba,,,[68440-000 68444-999],
Abaiara,CE,Q1796441,2300101,abaiara,,,[63240-000 63249-999],
Abaíra,BA,Q1645077,2900108,abaira,,,[46690-000 46699-999],
Abaré,BA,Q1647789,2900207,abare,,,[48680-000 48699-999],
Abatiá,PR,Q784855,4100103,abatia,,,[86460-000 86464-999],
Abdon Batista,SC,Q1637414,4200051,abdon.batista,,,[89636-000 89637-999],
Abelardo Luz,SC,Q1637506,4200101,abelardo.luz,,,[89830-000 89831-999],
Abel Figueiredo,PA,Q942803,1500131,abel.figueiredo,,,[68527-000 68529-999],
Abre Campo,MG,Q1749816,3100302,abre.campo,,,[35365-000 35366-999],
Abreulândia,TO,Q1784836,1700251,abreulandia,,,[77693-000 77694-999],
Abreu e Lima,PE,Q536569,2600054,abreu.lima,,,[53500-001 53599-999],
Acaiaca,MG,Q1749743,3100401,acaiaca,,,[35438-000 35438-999],
Açailândia,MA,Q1763534,2100055,acailandia,,,[65930-000 65934-999],
Acajutiba,BA,Q1761962,2900306,acajutiba,,,[48360-000 48369-999],
Acará,PA,Q1804839,1500206,acara,,,[68690-000 68694-999],
Acarape,CE,Q1808379,2300150,acarape,,,[62785-000 62789-999],
Acaraú,CE,Q1796706,2300200,acarau,,,[62580-000 62589-999],
Acari,RN,Q2008611,2400109,acari,,,[59370-000 59373-999],
Acauã,PI,Q2066143,2200053,acaua,,,[64748-000 64749-999],
Aceguá,RS,Q913259,4300034,acegua,,,[96445-000 96449-999],
Acopiara,CE,Q544694,2300309,acopiara,,,[63560-000 63569-999],
Acorizal,MT,Q507567,5100102,acorizal,,,[78480-000 78489-999],
Acrelândia,AC,Q953086,1200013,acrelandia,,,[69945-000 69949-999],
Acreúna,GO,Q342682,5200134,acreuna,,,[75960-000 75969-999],
Açu,RN,Q1788873,2400208,acu,,,[59650-000 59654-999],
Açucena,MG,Q1791887,3100500,acucena,,,[35147-000 35147-999],
Adamantina,SP,Q1637498,3500105,adamantina,,,[17800-000 17809-999],
Adelândia,GO,Q986273,5200159,adelandia,,,[76155-000 76159-999],
Adolfo,SP,Q676044,3500204,adolfo,,,[15230-000 15239-999],
Adrianópolis,PR,Q1779965,4100202,adrianopolis,,,[83490-000 83499-999],
Adustina,BA,Q1762152,2900355,adustina,,,[48435-000 48439-999],
Afogados da Ingazeira,PE,Q1761348,2600104,afogados.ingazeira,,,[56800-000 56819-999],
Afonso Bezerra,RN,Q1788960,2400307,afonso.bezerra,,,[59510-000 59512-999],
Afonso Cláudio,ES,Q1793672,3200102,afonso.claudio,,,[29600-000 29614-999],
Afonso Cunha,MA,Q532160,2100105,afonso.cunha,,,[65505-000 65509-999],
Afrânio,PE,Q2065815,2600203,afranio,,,[56360-000 56379-999],
Afuá,PA,Q389536,1500305,afua,,,[68890-000 68899-999],
Agrestina,PE,Q1787629,2600302,agrestina,,,[55495-000 55499-999],
Agricolândia,PI,Q1936312,2200103,agricolandia,,,[64440-000 64444-999],
Agrolândia,SC,Q397387,4200200,agrolandia,,,[88420-000 88429-999],
Agronômica,SC,Q1754594,4200309,agronomica,,,[89188-000 89189-999],
Água Azul do Norte,PA,Q1804899,1500347,agua.azul.norte,,,[68533-000 68534-999],
Água Boa,MG,Q2059260,3100609,agua.boa,,,[39790-000 39794-999],
Água Boa,MT,Q1988205,5100201,agua.boa,,,[78635-000 78637-999],
Água Branca,AL,Q1808899,2700102,agua.branca,,,[57490-000 57499-999],
Água Branca,PB,Q1847056,2500106,agua.branca,,,[58748-000 58749-999],
Água Branca,PI,Q578114,2200202,agua.branca,,,[64460-000 64464-999],
Água Clara,MS,Q1796727,5000203,agua.clara,,,[79680-000 79689-999],
Água Comprida,MG,Q1756079,3100708,agua.comprida,,,[38110-000 38119-999],
Água Doce,SC,Q1750762,4200408,agua.doce,,,[89654-000 89659-999],
Água Doce do Maranhão,MA,Q2013406,2100154,agua.doce.maranhao,,,[65578-000 65579-999],
Água Doce do Norte,ES,Q652959,3200169,agua.doce.norte,,,[29820-000 29829-999],
Água Fria,BA,Q1762459,2900405,agua.fria,,,[48170-000 48179-999],
Água Fria de Goiás,GO,Q249738,5200175,agua.fria.goias,,,[73780-000 73789-999],
Aguaí,SP,Q1760037,3500303,aguai,,,[13860-000 13869-999],
Água Limpa,GO,Q249765,5200209,agua.limpa,,,[75665-000 75669-999],
Aguanil,MG,Q691275,3100807,aguanil,,,[37273-000 37274-999],
