synonym,wdid,cur_state,cur_lexlabel,type,ref,notes
Augusto Severo,Q1802671,RN,campo.grande,alt canonico,1903..1991,"Em 28 de agosto de 1903, a Lei nº 192 mudou o nome do município para Augusto Severo"
Campo de Santana,,PB,tacima,alt canonico,1996..2009-12-22,
Januário Cicco,,RN,boa.saude,alt canonico,1953..1991-02-01,
Presidente Juscelino,,RN,serra.caiada,alt canonico,1963..1963,
Presidente Kubitschek,,RN,serra.caiada,alt canonico,1964-01-23..2013-01-13,
Santarém,,PB,joca.claudino,alt canonico,1994-04-29..2010-12-27,
São Valério,,TO,sao.valerio.natividade,alt oficial,IBGE (reduzido),
Triunfo,Q1802671,RN,campo.grande,alt canonico,1870..1902,"A Lei nº 613, de 30 de março de 1870, restaurou o município com a denominação, de Triunfo"
Arez,,RN,ares,alt,Wikipedia-pt,
Bom Jesus,,GO,bom.jesus.goias,alt reduz,Wikipedia-pt,
Brasópolis,,MG,brazopolis,alt orto moderna,Wikipedia-pt,
Dona Euzébia,,MG,dona.eusebia,alt orto arcaica,Wikipedia-pt,
Governador Edson Lobão,,MA,governador.edison.lobao,alt orto,Wikipedia-pt,
Iguaraci,,PE,iguaracy,alt,Wikipedia-pt,
Itapagé,,CE,itapaje,alt,Wikipedia-pt,
Jequiriça,,BA,jiquirica,alt orto,Wikipedia-pt,
Moji Mirim,,SP,mogi.mirim,alt,Wikipedia-pt,
Parati,,RJ,paraty,alt,Wikipedia-pt,
POA,,RS,porto.alegre,abrev,http://www.cidades.registro.nic.br,
Poxoréo,,MT,poxoreu,alt,Wikipedia-pt,
Sampa,,SP,sao.paulo,abrev,http://www.cidades.registro.nic.br,
Santa Isabel do Pará,,PA,santa.izabel.para,alt,Wikipedia-pt,
Santa Terezinha,,BA,santa.teresinha,alt orto,Wikipedia-pt,
Santo Amaro,,MA,santo.amaro.maranhao,alt reduz,CEP,
Senador La Roque,,MA,senador.la.rocque,alt orto,Wikipedia-pt,
Seridó,,PB,sao.vicente.serido,alt reduz,LexML,
Trajano de Morais,,RJ,trajano.moraes,alt,Wikipedia-pt,
Jequirissa,,BA,jiquirica,err,Teste,
