UF,MUNICIPIO,COD_MUNICIPIO,CN
AC,ACRELÂNDIA,1200013,68
AC,ASSIS BRASIL,1200054,68
AC,BRASILÉIA,1200104,68
AC,BUJARI,1200138,68
AC,CAPIXABA,1200179,68
AC,CRUZEIRO DO SUL,1200203,68
AC,EPITACIOLÂNDIA,1200252,68
AC,FEIJÓ,1200302,68
AC,JORDÃO,1200328,68
AC,MÂNCIO LIMA,1200336,68
AC,MANOEL URBANO,1200344,68
AC,MARECHAL THAUMATURGO,1200351,68
AC,PLÁCIDO DE CASTRO,1200385,68
AC,PORTO ACRE,1200807,68
AC,PORTO WALTER,1200393,68
AC,RIO BRANCO,1200401,68
AC,RODRIGUES ALVES,1200427,68
AC,SANTA ROSA DO PURUS,1200435,68
AC,SENA MADUREIRA,1200500,68
AC,SENADOR GUIOMARD,1200450,68
AC,TARAUACÁ,1200609,68
AC,XAPURI,1200708,68
AL,ÁGUA BRANCA,2700102,82
AL,ANADIA,2700201,82
AL,ARAPIRACA,2700300,82
AL,ATALAIA,2700409,82
AL,BARRA DE SANTO ANTÔNIO,2700508,82
AL,BARRA DE SÃO MIGUEL,2700607,82
AL,BATALHA,2700706,82
AL,BELÉM,2700805,82
AL,BELO MONTE,2700904,82
AL,BOCA DA MATA,2701001,82
AL,BRANQUINHA,2701100,82
AL,CACIMBINHAS,2701209,82
AL,CAJUEIRO,2701308,82
AL,CAMPESTRE,2701357,82
AL,CAMPO ALEGRE,2701407,82
AL,CAMPO GRANDE,2701506,82
AL,CANAPI,2701605,82
AL,CAPELA,2701704,82
AL,CARNEIROS,2701803,82
AL,CHÃ PRETA,2701902,82
AL,COITÉ DO NÓIA,2702009,82
AL,COLÔNIA LEOPOLDINA,2702108,82
AL,COQUEIRO SECO,2702207,82
AL,CORURIPE,2702306,82
AL,CRAÍBAS,2702355,82
AL,DELMIRO GOUVEIA,2702405,82
AL,DOIS RIACHOS,2702504,82
AL,ESTRELA DE ALAGOAS,2702553,82
AL,FEIRA GRANDE,2702603,82
AL,FELIZ DESERTO,2702702,82
AL,FLEXEIRAS,2702801,82
AL,GIRAU DO PONCIANO,2702900,82
AL,IBATEGUARA,2703007,82
AL,IGACI,2703106,82
AL,IGREJA NOVA,2703205,82
AL,INHAPI,2703304,82
AL,JACARÉ DOS HOMENS,2703403,82
AL,JACUÍPE,2703502,82
AL,JAPARATINGA,2703601,82
AL,JARAMATAIA,2703700,82
AL,JEQUIÁ DA PRAIA,2703759,82
AL,JOAQUIM GOMES,2703809,82
AL,JUNDIÁ,2703908,82
AL,JUNQUEIRO,2704005,82
AL,LAGOA DA CANOA,2704104,82
AL,LIMOEIRO DE ANADIA,2704203,82
AL,MACEIÓ,2704302,82
AL,MAJOR ISIDORO,2704401,82
AL,MAR VERMELHO,2704906,82
AL,MARAGOGI,2704500,82
AL,MARAVILHA,2704609,82
AL,MARECHAL DEODORO,2704708,82
AL,MARIBONDO,2704807,82
AL,MATA GRANDE,2705002,82
AL,MATRIZ DE CAMARAGIBE,2705101,82
AL,MESSIAS,2705200,82
AL,MINADOR DO NEGRÃO,2705309,82
AL,MONTEIRÓPOLIS,2705408,82
AL,MURICI,2705507,82
AL,NOVO LINO,2705606,82
AL,OLHO D'ÁGUA DAS FLORES,2705705,82
AL,OLHO D'ÁGUA DO CASADO,2705804,82
AL,OLHO D'ÁGUA GRANDE,2705903,82
AL,OLIVENÇA,2706000,82
AL,OURO BRANCO,2706109,82
AL,PALESTINA,2706208,82
AL,PALMEIRA DOS ÍNDIOS,2706307,82
AL,PÃO DE AÇÚCAR,2706406,82
AL,PARICONHA,2706422,82
AL,PARIPUEIRA,2706448,82
AL,PASSO DE CAMARAGIBE,2706505,82
AL,PAULO JACINTO,2706604,82
AL,PENEDO,2706703,82
AL,PIAÇABUÇU,2706802,82
AL,PILAR,2706901,82
AL,PINDOBA,2707008,82
AL,PIRANHAS,2707107,82
AL,POÇO DAS TRINCHEIRAS,2707206,82
AL,PORTO CALVO,2707305,82
AL,PORTO DE PEDRAS,2707404,82
AL,PORTO REAL DO COLÉGIO,2707503,82
AL,QUEBRANGULO,2707602,82
AL,RIO LARGO,2707701,82
AL,ROTEIRO,2707800,82
AL,SANTA LUZIA DO NORTE,2707909,82
AL,SANTANA DO IPANEMA,2708006,82
AL,SANTANA DO MUNDAÚ,2708105,82
AL,SÃO BRÁS,2708204,82
AL,SÃO JOSÉ DA LAJE,2708303,82
AL,SÃO JOSÉ DA TAPERA,2708402,82
AL,SÃO LUÍS DO QUITUNDE,2708501,82
AL,SÃO MIGUEL DOS CAMPOS,2708600,82
