sigla,municipio_sp
ADM,Adamantina
ADF,Adolfo
AAI,Aguaí
AGP,Águas da Prata
AGL,Águas de Lindóia
ASB,Águas de Santa Bárbara
ASP,Águas de São Pedro
AGD,Agudos
ALA,Alambari
AFM,Alfredo Marcondes
ATR,Altair
ATP,Altinópolis
AAG,Alto Alegre
ALM,Alumínio
AVF,Álvares Florence
AVM,Álvares Machado
AVC,Álvaro de Carvalho
AVL,Alvinlândia
AMR,Americana
ABR,Américo Brasiliense
ACP,Américo de Campos
AMP,Amparo
ALD,Analândia
ADD,Andradina
AGT,Angatuba
AHB,Anhembi
AHM,Anhumas
ACD,Aparecida
ADT,Aparecida d'Oeste
API,Apiaí
ARG,Araçariguama
ART,Araçatuba
ARS,Araçoiaba da Serra
AMN,Aramina
ARD,Arandu
ARP,Arapeí
ARA,Araraquara
ARR,Araras
ARC,Arco-Íris
ARV,Arealva
AEI,Areias
AEP,Areiópolis
ARH,Ariranha
ATN,Artur Nogueira
ARJ,Arujá
ASA,Aspásia
ASS,Assis
ATB,Atibaia
ARF,Auriflama
AVI,Avaí
AVA,Avanhandava
AVR,Avaré
BBS,Bady Bassitt
BBN,Balbinos
BSM,Bálsamo
BNN,Bananal
BAT,Barão de Antonina
BOS,Barbosa
BRI,Bariri
BRB,Barra Bonita
BCH,Barra do Chapéu
BRT,Barra do Turvo
BRR,Barretos
BRH,Barrinha
BEI,Barueri
BAS,Bastos
BTT,Batatais
BRU,Bauru
BBD,Bebedouro
BTA,Bento de Abreu
BNC,Bernardino de Campos
BET,Bertioga
BIL,Bilac
BGI,Birigui
BRM,Biritiba Mirim
BES,Boa Esperança do Sul
BOC,Bocaina
BFT,Bofete
BTV,Boituva
BJP,Bom Jesus dos Perdões
BSI,Bom Sucesso de Itararé
BOR,Borá
BRC,Boracéia
BBR,Borborema
BRE,Borebi
BTC,Botucatu
BGP,Bragança Paulista
BRN,Braúna
BRA,Brejo Alegre
BDQ,Brodówski
BRO,Brotas
BUR,Buri
BTM,Buritama
BTZ,Buritizal
CBP,Cabrália Paulista
CBV,Cabreúva
CPV,Caçapava
CHP,Cachoeira Paulista
CCD,Caconde
CFD,Cafelândia
CBU,Caiabu
CEI,Caieiras
CAA,Caiuá
CJM,Cajamar
CAJ,Cajati
CJB,Cajobi
CJR,Cajuru
CPM,Campina do Monte Alegre
CAM,Campinas
CPL,Campo Limpo Paulista
CJD,Campos do Jordão
CNP,Campos Novos Paulista
CNN,Cananéia
CAS,Canas
CDM,Cândido Mota
CDR,Cândido Rodrigues
CAN,Canitar
CPB,Capão Bonito
CAT,Capela do Alto
CPR,Capivari
CGT,Caraguatatuba
CPC,Carapicuíba
CDS,Cardoso
CBR,Casa Branca
CCQ,Cássia dos Coqueiros
CTH,Castilho
CTV,Catanduva
CTG,Catiguá
CDL,Cedral
CQC,Cerqueira César
CQH,Cerquilho
CSL,Cesário Lange
CHQ,Charqueada
CHV,Chavantes
CLM,Clementina
CLN,Colina
CLB,Colômbia
CHL,Conchal
CHS,Conchas
COR,Cordeirópolis
CRD,Coroados
CRM,Coronel Macedo
CBT,Corumbataí
CMS,Cosmópolis
CMR,Cosmorama
COT,Cotia
CRV,Cravinhos
CRP,Cristais Paulista
CZL,Cruzália
CRZ,Cruzeiro
CUB,Cubatão
CNH,Cunha
DCV,Descalvado
DDM,Diadema
DIR,Dirce Reis
DVL,Divinolândia
DBR,Dobrada
DCR,Dois Córregos
DCN,Dolcinópolis
DRD,Dourado
DRC,Dracena
DRT,Duartina
DUM,Dumont
ECH,Echaporã
ELD,Eldorado
ESF,Elias Fausto
ELS,Elisiário
EBB,Embaúba
EMB,Embu das Artes
EMG,Embu-Guaçu
EML,Emilianópolis
EGC,Engenheiro Coelho
ESP,Espírito Santo do Pinhal
EST,Espírito Santo do Turvo
ESG,Estiva Gerbi
ESN,Estrela do Norte
ESO,Estrela d'Oeste
ECP,Euclides da Cunha Paulista
FAR,Fartura
FNP,Fernando Prestes
FND,Fernandópolis
FRN,Fernão
FZV,Ferraz de Vasconcelos
FLR,Flora Rica
FRL,Floreal
FLP,Flórida Paulista
FLN,Florínea
FRA,Franca
FRM,Francisco Morato
FRR,Franco da Rocha
GBM,Gabriel Monteiro
GAL,Gália
GAR,Garça
GSV,Gastão Vidigal
GPT,Gavião Peixoto
GES,General Salgado
GET,Getulina
GLI,Glicério
GUA,Guaiçara
GMB,Guaimbê
GRA,Guaíra
GPI,Guapiaçu
GPA,Guapiara
GUR,Guará
GAI,Guaraçaí
GCI,Guaraci
GRO,Guarani d'Oeste
GRT,Guarantã
GRR,Guararapes
GRM,Guararema
GTG,Guaratinguetá
GRI,Guareí
GRB,Guariba
GRJ,Guarujá
GRH,Guarulhos
GTR,Guatapará
GUZ,Guzolândia
HER,Herculândia
HOL,Holambra
HRT,Hortolândia
IAG,Iacanga
IAC,Iacri
IRS,Iaras
IBT,Ibaté
IBR,Ibirá
IBM,Ibirarema
IBG,Ibitinga
IBN,Ibiúna
ICM,Icém
IEP,Iepê
IGT,Igaraçu do Tietê
IGP,Igarapava
IGR,Igaratá
IGU,Iguape
ICP,Ilha Comprida
ILS,Ilha Solteira
ILH,Ilhabela
IDT,Indaiatuba
IND,Indiana
INP,Indiaporã
IBP,Inúbia Paulista
IPA,Ipaussu
IPR,Iperó
IPN,Ipeúna
IGA,Ipiguá
IPG,Iporanga
IPU,Ipuã
IRC,Iracemápolis
IRP,Irapuã
IRU,Irapuru
ITB,Itaberá
ITA,Itaí
IJO,Itajobi
IJU,Itaju
ITH,Itanhaém
ITC,Itaóca
ICS,Itapecerica da Serra
ITG,Itapetininga
ITV,Itapeva
IPV,Itapevi
IPI,Itapira
ITS,Itapirapuã Paulista
IPS,Itápolis
IRG,Itaporanga
ITI,Itapuí
IRA,Itapura
IQT,Itaquaquecetuba
IRR,Itararé
IRI,Itariri
ITT,Itatiba
ITN,Itatinga
ITR,Itirapina
ITP,Itirapuã
ITO,Itobi
ITU,Itu
IVA,Itupeva
IVR,Ituverava
JBR,Jaborandi
JBT,Jaboticabal
JCR,Jacareí
JCI,Jaci
JCG,Jacupiranga
JGR,Jaguariúna
JAL,Jales
JAM,Jambeiro
JAD,Jandira
JDP,Jardinópolis
JAR,Jarinu
JAU,Jaú
JRQ,Jeriquara
JNP,Joanópolis
JRH,João Ramalho
JBF,José Bonifácio
JLM,Júlio Mesquita
JMR,Jumirim
JUN,Jundiaí
JQL,Junqueirópolis
JQA,Juquiá
JQT,Juquitiba
LGH,Lagoinha
LRP,Laranjal Paulista
LVN,Lavínia
LVR,Lavrinhas
LME,Leme
LEP,Lençóis Paulista
LIM,Limeira
LID,Lindóia
LIN,Lins
LOR,Lorena
LUR,Lourdes
LUV,Louveira
LCL,Lucélia
