UF,cod_ibge,nome_2018,area_km2
RO,1100015,ALTA FLORESTA D'OESTE,7067
RO,1100023,ARIQUEMES,4427
RO,1100031,CABIXI,1314
RO,1100049,CACOAL,3793
RO,1100056,CEREJEIRAS,2783
RO,1100064,COLORADO DO OESTE,1451
RO,1100072,CORUMBIARA,3060
RO,1100080,COSTA MARQUES,4987
RO,1100189,PIMENTA BUENO,6241
RO,1100205,PORTO VELHO,34091
RO,1100254,PRESIDENTE MÉDICI,1758
RO,1100262,RIO CRESPO,1718
RO,1100098,ESPIGÃO D'OESTE,4518
RO,1100106,GUAJARÁ-MIRIM,24856
RO,1100114,JARU,2944
RO,1100122,JI-PARANÁ,6897
RO,1100130,MACHADINHO D'OESTE,8509
RO,1100148,NOVA BRASILÂNDIA D'OESTE,1703
RO,1100288,ROLIM DE MOURA,1458
RO,1100296,SANTA LUZIA D'OESTE,1198
RO,1100155,OURO PRETO DO OESTE,1970
RO,1100304,VILHENA,11699
RO,1100320,SÃO MIGUEL DO GUAPORÉ,7460
RO,1100338,NOVA MAMORÉ,10072
RO,1100346,ALVORADA D'OESTE,3029
RO,1100379,ALTO ALEGRE DOS PARECIS,3958
RO,1100403,ALTO PARAÍSO,2652
RO,1100452,BURITIS,3266
RO,1100502,NOVO HORIZONTE DO OESTE,843
RO,1100601,CACAULÂNDIA,1962
RO,1100700,CAMPO NOVO DE RONDÔNIA,3442
RO,1100809,CANDEIAS DO JAMARI,6844
RO,1100908,CASTANHEIRAS,893
RO,1100924,CHUPINGUAIA,5127
RO,1100940,CUJUBIM,3864
RO,1101005,GOVERNADOR JORGE TEIXEIRA,5067
RO,1101104,ITAPUÃ DO OESTE,4082
RO,1101203,MINISTRO ANDREAZZA,798
RO,1101302,MIRANTE DA SERRA,1192
RO,1101401,MONTE NEGRO,1931
RO,1101435,NOVA UNIÃO,807
RO,1101450,PARECIS,2549
RO,1101468,PIMENTEIRAS DO OESTE,6015
RO,1101476,PRIMAVERA DE RONDÔNIA,606
RO,1101484,SÃO FELIPE D'OESTE,542
RO,1101492,SÃO FRANCISCO DO GUAPORÉ,10960
RO,1101500,SERINGUEIRAS,3774
RO,1101559,TEIXEIRÓPOLIS,460
RO,1101609,THEOBROMA,2197
RO,1101708,URUPÁ,832
RO,1101757,VALE DO ANARI,3135
RO,1101807,VALE DO PARAÍSO,966
AC,1200013,ACRELÂNDIA,1808
AC,1200054,ASSIS BRASIL,4974
AC,1200104,BRASILÉIA,3917
AC,1200138,BUJARI,3035
AC,1200179,CAPIXABA,1702
AC,1200203,CRUZEIRO DO SUL,8779
AC,1200252,EPITACIOLÂNDIA,1655
AC,1200302,FEIJÓ,27975
AC,1200328,JORDÃO,5357
AC,1200336,MÂNCIO LIMA,5453
AC,1200344,MANOEL URBANO,10633
AC,1200351,MARECHAL THAUMATURGO,8192
AC,1200385,PLÁCIDO DE CASTRO,1944
AC,1200393,PORTO WALTER,6444
AC,1200401,RIO BRANCO,8835
SP,3513850,DIRCE REIS,88
SP,3513900,DIVINOLÂNDIA,224
SP,3514007,DOBRADA,150
SP,3514106,DOIS CÓRREGOS,633
SP,3514205,DOLCINÓPOLIS,78
AC,1200427,RODRIGUES ALVES,3077
AC,1200435,SANTA ROSA DO PURUS,6146
AC,1200450,SENADOR GUIOMARD,2322
AC,1200500,SENA MADUREIRA,23753
AC,1200609,TARAUACÁ,20171
AC,1200708,XAPURI,5347
AC,1200807,PORTO ACRE,2605
AM,1300029,ALVARÃES,5923
AM,1300060,AMATURÁ,4754
AM,1300086,ANAMÃ,2446
AM,1300102,ANORI,6036
AM,1300144,APUÍ,54241
AM,1300201,ATALAIA DO NORTE,76435
AM,1300300,AUTAZES,7653
AM,1300409,BARCELOS,122461
AM,1300508,BARREIRINHA,5752
AM,1300607,BENJAMIN CONSTANT,8695
AM,1300631,BERURI,17473
AM,1300680,BOA VISTA DO RAMOS,2589
AM,1300706,BOCA DO ACRE,21939
AM,1300805,BORBA,44236
AM,1300839,CAAPIRANGA,9456
AM,1300904,CANUTAMA,33643
AM,1301001,CARAUARI,25779
AM,1301100,CAREIRO,6096
AM,1301159,CAREIRO DA VÁRZEA,2627
AM,1301209,COARI,57971
AM,1301308,CODAJÁS,18701
AM,1301407,EIRUNEPÉ,14966
AM,1301506,ENVIRA,7506
AM,1301605,FONTE BOA,12155
AM,1301654,GUAJARÁ,7584
AM,1301704,HUMAITÁ,33111
AM,1301803,IPIXUNA,12110
AM,1301852,IRANDUBA,2217
AM,1301902,ITACOATIARA,8892
AM,1301951,ITAMARATI,25260
AM,1302009,ITAPIRANGA,4335
AM,1302108,JAPURÁ,55827
AM,1302207,JURUÁ,19443
AM,1302306,JUTAÍ,69457
AM,1302405,LÁBREA,68263
AM,1302504,MANACAPURU,7337
AM,1302553,MANAQUIRI,3973
AM,1302603,MANAUS,11401
AM,1302702,MANICORÉ,48315
AM,1302801,MARAÃ,16831
AM,1302900,MAUÉS,39991
AM,1303007,NHAMUNDÁ,14107
AM,1303106,NOVA OLINDA DO NORTE,5578
AM,1303205,NOVO AIRÃO,37777
AM,1303304,NOVO ARIPUANÃ,41180
AM,1303403,PARINTINS,5956
AM,1303502,PAUINI,41625
AM,1303536,PRESIDENTE FIGUEIREDO,25459
AM,1303569,RIO PRETO DA EVA,5816
AM,1303601,SANTA ISABEL DO RIO NEGRO,62800
AM,1303700,SANTO ANTÔNIO DO IÇÁ,12366
AM,1303809,SÃO GABRIEL DA CACHOEIRA,109181
AM,1303908,SÃO PAULO DE OLIVENÇA,19659
AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,10647
AM,1304005,SILVES,3723
AM,1304062,TABATINGA,3266
AM,1304104,TAPAUÁ,84946
AM,1304203,TEFÉ,23692
AM,1304237,TONANTINS,6447
AM,1304260,UARINI,10275
AM,1304302,URUCARÁ,27902
AM,1304401,URUCURITUBA,2886
RR,1400027,AMAJARI,28472
RR,1400050,ALTO ALEGRE,25753
RR,1400100,BOA VISTA,5687
RR,1400159,BONFIM,8095
RR,1400175,CANTÁ,7665
RR,1400209,CARACARAÍ,47380
RR,1400233,CAROEBE,12066
RR,1400282,IRACEMA,14351
RR,1400308,MUCAJAÍ,12351
